Date,Canal,Motif_contact,Nb_contacts,Temps_moyen_traitement,Taux_resolution
14/02/2025,Chat,Technique,153,15,85
06/02/2025,Téléphone,Information,134,14,68
27/02/2025,Chat,Résiliation,141,11,72
24/03/2025,Téléphone,Facturation,189,4,76
15/03/2025,Chat,Technique,159,12,92
26/02/2025,Email,Information,192,4,93
07/02/2025,Email,Technique,111,15,72
10/02/2025,Email,Résiliation,121,15,94
20/03/2025,Email,Information,89,14,90
13/02/2025,Chat,Information,81,8,77
04/02/2025,Email,Facturation,53,15,70
10/01/2025,Email,Technique,47,9,92
26/01/2025,Téléphone,Information,62,10,72
23/01/2025,Chat,Information,57,15,75
28/01/2025,Chat,Information,147,13,94
08/02/2025,Chat,Résiliation,138,7,87
28/02/2025,Email,Technique,75,14,84
19/01/2025,Téléphone,Facturation,181,11,89
09/01/2025,Téléphone,Technique,91,10,66
18/02/2025,Chat,Information,76,10,90
14/02/2025,Email,Technique,128,9,76
03/02/2025,Téléphone,Information,159,14,72
24/02/2025,Téléphone,Information,189,6,73
15/01/2025,Téléphone,Technique,196,4,70
05/02/2025,Chat,Information,190,14,78
12/02/2025,Email,Technique,113,8,90
04/01/2025,Chat,Technique,53,13,94
01/03/2025,Email,Information,52,5,73
01/03/2025,Chat,Information,164,8,93
13/01/2025,Email,Information,12,5,70
14/03/2025,Email,Technique,109,15,77
20/03/2025,Téléphone,Information,48,14,71
28/01/2025,Chat,Information,160,13,82
02/02/2025,Téléphone,Facturation,198,8,82
16/03/2025,Téléphone,Information,197,5,92
11/03/2025,Chat,Information,122,12,78
04/03/2025,Téléphone,Technique,166,5,89
14/02/2025,Téléphone,Résiliation,28,6,68
18/03/2025,Chat,Facturation,131,7,84
28/03/2025,Chat,Information,144,9,80
25/03/2025,Téléphone,Résiliation,26,4,77
13/03/2025,Téléphone,Facturation,77,5,85
18/01/2025,Email,Résiliation,81,9,93
16/02/2025,Chat,Information,173,7,74
11/01/2025,Téléphone,Technique,183,8,71
21/01/2025,Chat,Résiliation,81,11,78
26/01/2025,Email,Information,164,10,77
10/03/2025,Chat,Technique,44,6,76
27/02/2025,Chat,Information,104,8,90
10/03/2025,Email,Résiliation,72,6,74
28/01/2025,Email,Facturation,140,11,75
19/02/2025,Téléphone,Résiliation,70,7,80
28/02/2025,Email,Résiliation,194,8,69
21/02/2025,Téléphone,Information,131,14,71
18/01/2025,Email,Information,39,11,65
13/03/2025,Email,Résiliation,134,9,95
01/02/2025,Téléphone,Facturation,107,15,95
06/03/2025,Téléphone,Technique,151,6,69
11/03/2025,Email,Résiliation,181,12,88
30/01/2025,Téléphone,Résiliation,149,12,87
18/02/2025,Téléphone,Résiliation,170,6,94
20/01/2025,Téléphone,Information,13,8,90
18/01/2025,Téléphone,Information,110,7,74
14/01/2025,Chat,Information,150,9,89
09/02/2025,Email,Information,106,14,82
20/02/2025,Téléphone,Facturation,153,15,80
18/03/2025,Chat,Technique,186,15,83
06/02/2025,Téléphone,Information,50,13,69
06/03/2025,Email,Technique,80,5,67
28/02/2025,Téléphone,Résiliation,18,5,93
05/01/2025,Chat,Information,61,11,70
11/01/2025,Email,Technique,87,10,95
18/02/2025,Email,Résiliation,194,9,90
27/03/2025,Email,Information,79,8,81
22/01/2025,Email,Technique,11,15,80
02/01/2025,Chat,Facturation,163,14,89
25/02/2025,Chat,Facturation,99,8,79
21/01/2025,Chat,Technique,24,4,69
28/02/2025,Chat,Technique,198,8,85
13/01/2025,Email,Information,136,4,92
16/01/2025,Chat,Information,10,10,68
19/01/2025,Téléphone,Information,145,10,67
25/03/2025,Email,Technique,29,7,68
19/02/2025,Téléphone,Technique,74,7,69
11/01/2025,Email,Technique,29,14,89
13/03/2025,Téléphone,Technique,87,8,79
31/01/2025,Chat,Technique,13,4,67
06/03/2025,Téléphone,Technique,137,9,78
01/03/2025,Téléphone,Facturation,11,9,81
13/03/2025,Email,Résiliation,33,6,91
24/03/2025,Email,Facturation,97,10,67
16/03/2025,Email,Facturation,171,14,75
23/03/2025,Chat,Facturation,134,15,68
21/02/2025,Email,Information,137,14,85
31/01/2025,Chat,Facturation,54,10,65
01/03/2025,Email,Résiliation,80,12,94
05/02/2025,Chat,Résiliation,128,11,90
14/03/2025,Email,Facturation,191,15,92
24/01/2025,Chat,Technique,189,14,92
20/02/2025,Email,Information,141,8,93
28/02/2025,Téléphone,Résiliation,13,14,90
19/02/2025,Téléphone,Résiliation,50,11,91
09/01/2025,Téléphone,Résiliation,143,8,67
11/01/2025,Email,Information,68,6,93
28/01/2025,Email,Facturation,120,12,91
01/02/2025,Téléphone,Facturation,191,4,73
19/01/2025,Chat,Facturation,157,7,82
11/02/2025,Téléphone,Information,122,15,65
19/01/2025,Chat,Technique,140,10,77
22/02/2025,Téléphone,Résiliation,153,15,66
08/02/2025,Chat,Résiliation,106,11,83
10/03/2025,Chat,Facturation,144,11,83
13/02/2025,Chat,Résiliation,112,11,68
17/03/2025,Email,Résiliation,77,6,79
06/03/2025,Téléphone,Résiliation,85,15,79
14/03/2025,Téléphone,Résiliation,161,14,69
11/01/2025,Téléphone,Technique,162,9,75
10/01/2025,Téléphone,Technique,125,14,85
24/02/2025,Chat,Information,30,9,81
19/01/2025,Email,Information,41,8,82
25/01/2025,Chat,Facturation,182,5,65
14/01/2025,Chat,Facturation,169,12,85
06/03/2025,Email,Information,194,9,77
28/01/2025,Chat,Technique,132,5,80
14/03/2025,Téléphone,Technique,183,4,77
31/01/2025,Téléphone,Technique,50,5,66
20/01/2025,Chat,Facturation,106,8,84
28/03/2025,Email,Résiliation,154,14,73
28/03/2025,Chat,Information,61,6,85
01/01/2025,Email,Technique,120,13,86
09/01/2025,Chat,Résiliation,72,8,93
12/01/2025,Email,Technique,101,11,66
09/02/2025,Email,Information,150,15,79
05/01/2025,Chat,Facturation,117,10,95
08/02/2025,Chat,Facturation,164,15,85
14/02/2025,Email,Facturation,25,6,88
08/03/2025,Chat,Technique,56,10,84
14/01/2025,Email,Technique,134,8,95
22/01/2025,Téléphone,Information,33,10,82
17/03/2025,Email,Information,170,6,77
13/01/2025,Téléphone,Facturation,97,11,89
11/02/2025,Email,Résiliation,141,11,83
21/02/2025,Téléphone,Information,171,12,88
01/01/2025,Chat,Résiliation,112,4,87
08/03/2025,Téléphone,Résiliation,18,9,92
28/01/2025,Email,Facturation,128,9,71
25/03/2025,Chat,Information,56,7,77
01/02/2025,Téléphone,Information,64,4,88
15/02/2025,Email,Facturation,80,7,79
21/03/2025,Chat,Information,181,12,65
14/03/2025,Téléphone,Résiliation,185,6,72
01/01/2025,Téléphone,Facturation,40,9,80
15/01/2025,Email,Technique,17,6,94
24/01/2025,Téléphone,Résiliation,36,5,71
